0.000000000000000000e+00 1.850000000000000000e+04
2.249205951096736555e+02 1.692555583423228381e+04
4.291687680472730335e+02 1.549581862366908899e+04
6.167358133395536015e+02 1.418284930662312399e+04
7.929972369677448114e+02 1.294901934122578496e+04
9.871681994502037014e+02 1.158982260384857364e+04
1.155575070816991456e+03 1.041097450428106094e+04
1.361521074039281757e+03 8.969352481725029065e+03
1.542586170417072708e+03 7.701896807080491271e+03
1.710993041783860463e+03 6.523048707512977671e+03
1.900201875949515852e+03 5.198586868353389946e+03
2.091058721829488604e+03 3.862588947193580680e+03
2.280267555995143994e+03 2.538127108033992954e+03
2.407894256151045738e+03 1.644740206942681652e+03
2.420656926166635913e+03 1.555401516833550431e+03
